x,tb,bb,cb,sb,db,ub,g,u,d,s,c,b, t                   
    5.0802180469E-03,    0.0000000000E+00,    4.8314739655E+01,    7.6012975834E+01,    9.4416297359E+01,    1.2386274136E+02,    1.2018010492E+02,    2.3294247157E+03,    1.5165713647E+02,    1.4296784719E+02,    9.4416297359E+01,    7.6012975834E+01,    4.8314739655E+01,   0.0000000000000000     
    5.1871896509E-03,    0.0000000000E+00,    4.6730389109E+01,    7.3642234050E+01,    9.1584461590E+01,    1.2030863966E+02,    1.1668711480E+02,    2.2527788011E+03,    1.4776947836E+02,    1.3923951603E+02,    9.1584461590E+01,    7.3642234050E+01,    4.6730389109E+01,   0.0000000000000000     
    5.2964137023E-03,    0.0000000000E+00,    4.5207947085E+01,    7.1360902180E+01,    8.8856659236E+01,    1.1688084344E+02,    1.1331974879E+02,    2.1791764097E+03,    1.4401453691E+02,    1.3563884357E+02,    8.8856659236E+01,    7.1360902180E+01,    4.5207947085E+01,   0.0000000000000000     
    5.4079376298E-03,    0.0000000000E+00,    4.3745881853E+01,    6.9166703644E+01,    8.6230197917E+01,    1.1357603226E+02,    1.1007469860E+02,    2.1085401687E+03,    1.4038879988E+02,    1.3216247005E+02,    8.6230197917E+01,    6.9166703644E+01,    4.3745881853E+01,   0.0000000000000000     
    5.5218098607E-03,    0.0000000000E+00,    4.2342064326E+01,    6.7056486120E+01,    8.3701356466E+01,    1.1038962335E+02,    1.0694740207E+02,    2.0407631445E+03,    1.3688741679E+02,    1.2880575144E+02,    8.3701356466E+01,    6.7056486120E+01,    4.2342064326E+01,   0.0000000000000000     
    5.6380798421E-03,    0.0000000000E+00,    4.0918618827E+01,    6.4914918394E+01,    8.1133828625E+01,    1.0715327125E+02,    1.0377076065E+02,    1.9719869712E+03,    1.3333124206E+02,    1.2539715276E+02,    8.1133828625E+01,    6.4914918394E+01,    4.0918618827E+01,   0.0000000000000000     
    5.7567980622E-03,    0.0000000000E+00,    3.9522076851E+01,    6.2810941052E+01,    7.8609119782E+01,    1.0396768659E+02,    1.0064471442E+02,    1.9045147837E+03,    1.2982750640E+02,    1.2203934111E+02,    7.8609119782E+01,    6.2810941052E+01,    3.9522076851E+01,   0.0000000000000000     
    5.8780160723E-03,    0.0000000000E+00,    3.8175741777E+01,    6.0779103778E+01,    7.6168094967E+01,    1.0088339159E+02,    9.7619390080E+01,    1.8394993647E+03,    1.2643002928E+02,    1.1878383829E+02,    7.6168094967E+01,    6.0779103778E+01,    3.8175741777E+01,   0.0000000000000000     
    6.0017865092E-03,    0.0000000000E+00,    3.6880021103E+01,    5.8820058781E+01,    7.3811562990E+01,    9.7901442715E+01,    9.4695818152E+01,    1.7769596114E+03,    1.2313998877E+02,    1.1563175748E+02,    7.3811562990E+01,    5.8820058781E+01,    3.6880021103E+01,   0.0000000000000000     
    6.1281631182E-03,    0.0000000000E+00,    3.5635042791E+01,    5.6934059537E+01,    7.1539871952E+01,    9.5022341266E+01,    9.1874476910E+01,    1.7169006589E+03,    1.1995798005E+02,    1.1258364883E+02,    7.1539871952E+01,    5.6934059537E+01,    3.5635042791E+01,   0.0000000000000000     
    6.2572007761E-03,    0.0000000000E+00,    3.4440620313E+01,    5.5120910603E+01,    6.9352851009E+01,    9.2245962762E+01,    8.9155222295E+01,    1.6593121646E+03,    1.1688394105E+02,    1.0963942774E+02,    6.9352851009E+01,    5.5120910603E+01,    3.4440620313E+01,   0.0000000000000000     
